"UF";"Mês/Ano";"Valor Transferido";
"DF";"03/2019";"12.650.161,00";
"AL";"03/2019";"79.070.813,00";
"SE";"03/2019";"49.564.496,00";
"RR";"03/2019";"10.083.859,00";
"AP";"03/2019";"17.298.372,00";
"RJ";"03/2019";"160.092.213,00";
"MS";"03/2019";"22.670.124,00";
"PI";"03/2019";"95.519.195,00";
"CE";"03/2019";"199.814.573,00";
"MT";"03/2019";"26.523.688,00";
"AM";"03/2019";"93.215.924,00";
"PA";"03/2019";"195.130.922,00";
"TO";"03/2019";"22.672.725,00";
"ES";"03/2019";"31.515.503,00";
"PB";"03/2019";"105.233.141,00";
"RN";"03/2019";"66.421.601,00";
"AC";"03/2019";"24.129.755,00";
"MA";"03/2019";"209.645.742,00";
"SP";"03/2019";"264.074.628,00";
"MG";"03/2019";"188.426.148,00";
"GO";"03/2019";"47.778.754,00";
"SC";"03/2019";"21.055.012,00";
"RO";"03/2019";"12.294.643,00";
"BA";"03/2019";"344.434.856,00";
"PR";"03/2019";"60.669.654,00";
"RS";"03/2019";"61.778.929,00";
"PE";"03/2019";"215.088.723,00";
"DF";"04/2019";"12.428.435,00";
"AP";"04/2019";"17.192.268,00";
"AC";"04/2019";"23.909.429,00";
"AM";"04/2019";"92.401.191,00";
"ES";"04/2019";"31.776.466,00";
"RJ";"04/2019";"160.619.176,00";
"RR";"04/2019";"10.132.893,00";
"SE";"04/2019";"49.508.137,00";
"TO";"04/2019";"22.617.578,00";
"MA";"04/2019";"207.233.768,00";
"RN";"04/2019";"66.326.177,00";
"GO";"04/2019";"47.907.482,00";
"RO";"04/2019";"12.300.288,00";
"MS";"04/2019";"22.783.936,00";
"PB";"04/2019";"104.535.430,00";
"PI";"04/2019";"95.109.555,00";
"MT";"04/2019";"26.539.306,00";
"PE";"04/2019";"215.112.750,00";
"CE";"04/2019";"199.922.783,00";
"SC";"04/2019";"21.156.688,00";
"PR";"04/2019";"61.035.684,00";
"PA";"04/2019";"193.932.600,00";
"SP";"04/2019";"265.293.089,00";
"RS";"04/2019";"61.964.565,00";
"MG";"04/2019";"188.824.473,00";
"BA";"04/2019";"342.855.374,00";
"AL";"04/2019";"78.859.015,00";
"DF";"05/2019";"12.836.151,00";
"RR";"05/2019";"10.372.027,00";
"MS";"05/2019";"23.210.075,00";
"SE";"05/2019";"50.206.734,00";
"AC";"05/2019";"24.445.152,00";
"RO";"05/2019";"12.461.625,00";
"AM";"05/2019";"94.399.286,00";
"PB";"05/2019";"105.862.355,00";
"RJ";"05/2019";"164.467.913,00";
"BA";"05/2019";"347.421.758,00";
"ES";"05/2019";"32.559.627,00";
"AL";"05/2019";"79.614.337,00";
"PE";"05/2019";"217.487.996,00";
"MT";"05/2019";"27.062.477,00";
"AP";"05/2019";"17.610.179,00";
"PA";"05/2019";"198.035.110,00";
"SC";"05/2019";"21.787.883,00";
"TO";"05/2019";"22.866.079,00";
"RS";"05/2019";"63.317.734,00";
"RN";"05/2019";"67.143.107,00";
"GO";"05/2019";"48.767.944,00";
"MA";"05/2019";"210.575.117,00";
