regiao,estado,data,casosAcumulados
Norte,RO,29/04/2020,433
Norte,AC,29/04/2020,354
Norte,AM,29/04/2020,4801
Norte,RR,29/04/2020,452
Norte,PA,29/04/2020,2422
Norte,AP,29/04/2020,1016
Norte,TO,29/04/2020,116
Nordeste,MA,29/04/2020,2804
Nordeste,PI,29/04/2020,454
Nordeste,CE,29/04/2020,7267
Nordeste,RN,29/04/2020,1086
Nordeste,PB,29/04/2020,699
Nordeste,PE,29/04/2020,6194
Nordeste,AL,29/04/2020,957
Nordeste,SE,29/04/2020,337
Nordeste,BA,29/04/2020,2646
Sudeste,MG,29/04/2020,1758
Sudeste,ES,29/04/2020,2107
Sudeste,RJ,29/04/2020,8869
Sudeste,SP,29/04/2020,26158
Sul,PR,29/04/2020,1348
Sul,SC,29/04/2020,1995
Sul,RS,29/04/2020,1368
Centro-Oeste,MS,29/04/2020,249
Centro-Oeste,MT,29/04/2020,292
Centro-Oeste,GO,29/04/2020,705
Centro-Oeste,DF,29/04/2020,1275
