regiao,estado,data,casosAcumulados,obitosAcumulados
Norte,RO,20/04/2020,160,4
Norte,AC,20/04/2020,176,8
Norte,AM,20/04/2020,2160,185
Norte,RR,20/04/2020,244,3
Norte,PA,20/04/2020,902,35
Norte,AP,20/04/2020,433,13
Norte,TO,20/04/2020,34,1
Nordeste,MA,20/04/2020,1320,54
Nordeste,PI,20/04/2020,158,12
Nordeste,CE,20/04/2020,3482,198
Nordeste,RN,20/04/2020,595,27
Nordeste,PB,20/04/2020,245,32
Nordeste,PE,20/04/2020,2690,234
Nordeste,AL,20/04/2020,171,18
Nordeste,SE,20/04/2020,86,5
Nordeste,BA,20/04/2020,1341,46
Sudeste,MG,20/04/2020,1189,41
Sudeste,ES,20/04/2020,1168,33
Sudeste,RJ,20/04/2020,4899,422
Sudeste,SP,20/04/2020,14580,1037
Sul,PR,20/04/2020,1007,51
Sul,SC,20/04/2020,1025,35
Sul,RS,20/04/2020,889,27
Centro-Oeste,MS,20/04/2020,171,5
Centro-Oeste,MT,20/04/2020,181,6
Centro-Oeste,GO,20/04/2020,403,19
Centro-Oeste,DF,20/04/2020,872,24
