group,axis,value,description
Norte,casosNovos,1085,
Norte,casosAcumulados,11857,
Norte,obitosNovos,84,
Norte,obitosAcumulados,796,
Nordeste,casosNovos,1852,
Nordeste,casosAcumulados,26370,
Nordeste,obitosNovos,107,
Nordeste,obitosAcumulados,1643,
Sudeste,casosNovos,2694,
Sudeste,casosAcumulados,45137,
Sudeste,obitosNovos,222,
Sudeste,obitosAcumulados,3616,
Sul,casosNovos,412,
Sul,casosAcumulados,5370,
Sul,obitosNovos,15,
Sul,obitosAcumulados,195,
Centro-Oeste,casosNovos,166,
Centro-Oeste,casosAcumulados,2855,
Centro-Oeste,obitosNovos,0,
Centro-Oeste,obitosAcumulados,79,
