mesAno;UF;valorTransferido;
"01/2020";"-3";"R$ 30.414.731,28";
"02/2020";"-3";"R$ 81.914.098,77";
"03/2020";"-3";"R$ 98.561.026,92";
"04/2020";"AC";"R$ 25.829.986,44";
"02/2020";"AC";"R$ 531.933.791,86";
"01/2020";"AC";"R$ 219.686.838,52";
"03/2020";"AC";"R$ 50.595.089,81";
"04/2020";"AL";"R$ 104.067.480,51";
"01/2020";"AL";"R$ 379.059.149,78";
"02/2020";"AL";"R$ 1.004.766.754,85";
"03/2020";"AL";"R$ 171.119.804,17";
"01/2020";"AM";"R$ 374.407.239,03";
"04/2020";"AM";"R$ 81.516.510,23";
"03/2020";"AM";"R$ 163.642.042,77";
"02/2020";"AM";"R$ 869.224.221,18";
"04/2020";"AP";"R$ 16.720.208,65";
"02/2020";"AP";"R$ 509.528.393,93";
"03/2020";"AP";"R$ 41.013.796,60";
"01/2020";"AP";"R$ 178.043.653,39";
"04/2020";"BA";"R$ 442.551.879,68";
"01/2020";"BA";"R$ 1.076.297.741,94";
"02/2020";"BA";"R$ 3.078.993.287,02";
"03/2020";"BA";"R$ 706.930.615,83";
"04/2020";"CE";"R$ 261.702.788,91";
"02/2020";"CE";"R$ 2.009.697.668,14";
"01/2020";"CE";"R$ 659.715.428,30";
"03/2020";"CE";"R$ 462.391.924,47";
"04/2020";"DF";"R$ 57.343.685,32";
"01/2020";"DF";"R$ 153.440.481,07";
"03/2020";"DF";"R$ 652.712.548,15";
"02/2020";"DF";"R$ 223.379.026,30";
"02/2020";"ES";"R$ 1.039.645.071,78";
"01/2020";"ES";"R$ 360.890.504,87";
"03/2020";"ES";"R$ 174.497.073,71";
"04/2020";"ES";"R$ 99.880.978,26";
"03/2020";"GO";"R$ 387.426.690,37";
"01/2020";"GO";"R$ 416.402.199,43";
"04/2020";"GO";"R$ 169.748.722,18";
"02/2020";"GO";"R$ 1.087.140.139,96";
"04/2020";"MA";"R$ 166.324.251,86";
"01/2020";"MA";"R$ 630.932.533,06";
"03/2020";"MA";"R$ 329.285.762,51";
"02/2020";"MA";"R$ 1.931.948.101,52";
"01/2020";"MG";"R$ 1.323.139.782,63";
"04/2020";"MG";"R$ 601.346.133,63";
"02/2020";"MG";"R$ 3.212.986.975,99";
"03/2020";"MG";"R$ 1.061.369.400,43";
"04/2020";"MS";"R$ 81.173.170,56";
"01/2020";"MS";"R$ 232.543.630,34";
"02/2020";"MS";"R$ 513.538.758,86";
"03/2020";"MS";"R$ 151.541.483,27";
"01/2020";"MT";"R$ 344.999.693,18";
"02/2020";"MT";"R$ 642.585.435,90";
"03/2020";"MT";"R$ 161.258.285,90";
"04/2020";"MT";"R$ 85.857.182,28";
"01/2020";"PA";"R$ 804.034.795,52";
"02/2020";"PA";"R$ 1.919.855.912,10";
"03/2020";"PA";"R$ 332.991.433,22";
"04/2020";"PA";"R$ 172.040.407,88";
"04/2020";"PB";"R$ 117.359.581,50";
"03/2020";"PB";"R$ 224.347.690,98";
"02/2020";"PB";"R$ 1.157.875.194,22";
"01/2020";"PB";"R$ 405.569.166,08";
"02/2020";"PE";"R$ 1.883.759.045,70";
"01/2020";"PE";"R$ 682.534.298,76";
"04/2020";"PE";"R$ 275.654.424,84";
"03/2020";"PE";"R$ 475.474.468,84";
"04/2020";"PI";"R$ 104.786.122,51";
"03/2020";"PI";"R$ 200.872.642,27";
"02/2020";"PI";"R$ 1.062.432.118,67";
"01/2020";"PI";"R$ 355.286.766,54";
"04/2020";"PR";"R$ 305.983.681,24";
"01/2020";"PR";"R$ 728.830.908,76";
"03/2020";"PR";"R$ 559.977.972,72";
"02/2020";"PR";"R$ 1.741.661.831,21";
"04/2020";"RJ";"R$ 393.719.958,35";
"02/2020";"RJ";"R$ 5.283.918.759,63";
"01/2020";"RJ";"R$ 1.665.557.166,19";
"03/2020";"RJ";"R$ 702.879.970,70";
"02/2020";"RN";"R$ 994.210.469,26";
"04/2020";"RN";"R$ 95.398.260,70";
"01/2020";"RN";"R$ 342.402.072,67";
"03/2020";"RN";"R$ 246.279.290,98";
"03/2020";"RO";"R$ 88.446.713,25";
"04/2020";"RO";"R$ 47.321.841,35";
"01/2020";"RO";"R$ 231.937.777,09";
"02/2020";"RO";"R$ 533.914.129,63";
"04/2020";"RR";"R$ 16.229.247,54";
"01/2020";"RR";"R$ 183.775.192,35";
"02/2020";"RR";"R$ 393.943.192,78";
"03/2020";"RR";"R$ 58.793.603,47";
"04/2020";"RS";"R$ 301.007.404,94";
"03/2020";"RS";"R$ 549.013.667,53";
"02/2020";"RS";"R$ 1.570.667.371,42";
"01/2020";"RS";"R$ 697.692.407,31";
"04/2020";"SC";"R$ 197.664.581,13";
"03/2020";"SC";"R$ 328.411.763,70";
"02/2020";"SC";"R$ 955.221.685,71";
"01/2020";"SC";"R$ 391.420.081,31";
"04/2020";"SE";"R$ 61.471.389,73";
"03/2020";"SE";"R$ 127.604.024,62";
"01/2020";"SE";"R$ 298.026.866,75";
"02/2020";"SE";"R$ 802.466.606,61";
"04/2020";"SP";"R$ 999.899.190,26";
"01/2020";"SP";"R$ 1.746.548.950,87";
"03/2020";"SP";"R$ 1.814.442.021,83";
"02/2020";"SP";"R$ 3.825.848.515,47";
"04/2020";"TO";"R$ 54.289.023,54";
"01/2020";"TO";"R$ 289.818.499,54";
"02/2020";"TO";"R$ 763.869.112,33";
"03/2020";"TO";"R$ 99.043.436,91";
