palavra,classe,quantidade
acrescentamento,substantivo,1
circunstanciado,adjetivo,2
impacientemente,adverbio,3
antepassado,substantivo,4
correligionario,substantivo,5
costumeiramente,adverbio,1
intransmissivel,adjetivo,2
cumprimentar,verbo,3
indefinidamente,adverbio,4
suficientemente,adverbio,5
correspondencia,substantivo,1
motocicleta,substantivo,2
achincalhamento,substantivo,3
impossibilitado,adjetivo,4
profilatico,adjetivo,5
insociabilidade,substantivo,1
dessensibilizar,verbo,2
inidentificavel,adjetivo,3
descongestionar,verbo,4
autossuficiente,adjetivo,5
inculpabilidade,substantivo,1
impermeabilizar,verbo,2
aproximacao,substantivo,3
turbulencia,substantivo,4
indiscriminacao,substantivo,5
diferenciar,verbo,1
sorrateiramente,adverbio,2
travesseiro,substantivo,3
bem-conceituado,adjetivo,4
arquitetura,substantivo,5
cientificamente,adverbio,5
reivindicatorio,adjetivo,4
cabeca-de-frade,substantivo,8
receptibilidade,substantivo,5
intrometido,substantivo,2
significado,substantivo,1
espontaneamente,adverbio,7
aquecimento,substantivo,4
quotidianamente,adverbio,9
admissibilidade,substantivo,24
insensibilidade,substantivo,32
inequivocamente,adverbio,1
harmoniosamente,adverbio,2
acampamento,substantivo,3
condicionamento,substantivo,4
indiscretamente,adverbio,5
desmaterializar,verbo,1
penetrabilidade,substantivo,2
artificialidade,substantivo,3
conscientemente,adjetivo,4
multiplicacao,substantivo,5
dispositivo,substantivo,3
observatorio,substantivo,7
suscetibilidade,substantivo,8
desproporcional,adjetivo,6
lisonjeiramente,adverbio,4
convulsivamente,adverbio,3
rechonchudo,adjetivo,6
especificamente,adverbio,7
torrencialmente,adverbio,9
verossimilidade,substantivo,1
comercializavel,adjetivo,2
inframencionado,adjetivo,3
incessantemente,adverbio,4
substancializar,verbo,5
investimento,substantivo,1
estandardizacao,substantivo,2
perpendicular,verbo,3
abaixo-assinado,substantivo,4
relatividade,substantivo,5
horizontalidade,substantivo,9
publicidade,substantivo,6
inautenticidade,substantivo,5
articuladamente,adjetivo,4
chave-de-cadeia,adjetivo,4
